
2023/07/22 (23:27:32) | ===> btop++ v.1.2.13
2023/07/22 (23:27:32) | ERROR: Stall in Runner thread, restarting!
2023/07/22 (23:27:43) | ERROR: Stall in Runner thread, restarting!
2023/07/22 (23:27:49) | ERROR: Stall in Runner thread, restarting!
2023/07/24 (11:48:14) | ERROR: failed getting network interfaces

2024/01/30 (20:10:51) | ===> btop++ v.1.2.13
2024/01/30 (20:10:52) | ERROR: Stall in Runner thread, restarting!

2025/02/20 (06:16:46) | ===> btop++ v.1.3.2
2025/02/20 (06:16:46) | ERROR: Stall in Runner thread, restarting!
